timestamp,rule.description,rule.level,data.srcip,data.srcport,full_log,GeoLocation.country_name,GeoLocation.city_name,GeoLocation.location
"Mar 13, 2025 @ 22:02:17.957","sshd: Attempt to login using a non-existent user","5","178.128.201.36",,"Mar 13 22:02:17 regvision-wordpress sshd[31320]: Failed password for invalid user solr from 178.128.201.36 port 44500 ssh2","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 22:02:16.008","PAM: User login failed.","5","178.128.201.36",,"Mar 13 22:02:15 regvision-wordpress sshd[31320]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=178.128.201.36","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 22:02:15.955","sshd: Attempt to login using a non-existent user","5","178.128.201.36","44500","Mar 13 22:02:15 regvision-wordpress sshd[31320]: Invalid user solr from 178.128.201.36 port 44500","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 22:02:07.947","sshd: Attempt to login using a non-existent user","5","46.101.36.240",,"Mar 13 22:02:06 regvision-wordpress sshd[31318]: Failed password for invalid user admin from 46.101.36.240 port 44680 ssh2","United Kingdom","London",{"lon":-0.6658,"lat":51.5353}
"Mar 13, 2025 @ 22:02:05.957","sshd: Attempt to login using a non-existent user","5","46.101.36.240","44680","Mar 13 22:02:04 regvision-wordpress sshd[31318]: Invalid user admin from 46.101.36.240 port 44680","United Kingdom","London",{"lon":-0.6658,"lat":51.5353}
"Mar 13, 2025 @ 22:02:05.957","PAM: User login failed.","5","46.101.36.240",,"Mar 13 22:02:04 regvision-wordpress sshd[31318]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=46.101.36.240","United Kingdom","London",{"lon":-0.6658,"lat":51.5353}
"Mar 13, 2025 @ 22:01:59.938","sshd: Attempt to login using a non-existent user","5","187.87.144.226",,"Mar 13 22:01:59 regvision-wordpress sshd[31316]: Failed password for invalid user applprod from 187.87.144.226 port 58036 ssh2","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 22:01:57.989","PAM: User login failed.","5","187.87.144.226",,"Mar 13 22:01:57 regvision-wordpress sshd[31316]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.87.144.226","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 22:01:57.936","sshd: Attempt to login using a non-existent user","5","187.87.144.226","58036","Mar 13 22:01:57 regvision-wordpress sshd[31316]: Invalid user applprod from 187.87.144.226 port 58036","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 22:01:47.928","sshd: Attempt to login using a non-existent user","5","64.227.78.79",,"Mar 13 22:01:46 regvision-wordpress sshd[31314]: Failed password for invalid user apps from 64.227.78.79 port 57960 ssh2","United States","New York",{"lon":-74,"lat":40.7157}
"Mar 13, 2025 @ 22:01:45.938","PAM: User login failed.","5","64.227.78.79",,"Mar 13 22:01:44 regvision-wordpress sshd[31314]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=64.227.78.79","United States","New York",{"lon":-74,"lat":40.7157}
